,keywords,xyear,_material,_height,_width,year,_description,id
157,"Paris,drawing,Cityscape,Figures",1886,typewritten,1680,1010,1972-B,People Walking on a Street in the Evening,157
158,"Saint-Rémy-de-Provence,painting,landscape,Nature",1889,handwritten,0,7200,1973-A,Garden of the Asylum,158
159,"Paris,drawing,study,Figures,Still Life,nude",1886,typewritten,3180,4890,1973-B,Torso of Venus,159
160,"Paris,sketch,drawing",1886,other,1980,1090,1970-A,L&#39;Ecorch&#233;,160
161,"sketch,drawing",1890,other,850,1340,1970-B,Men in a Caf&#233;,161
162,"Arles,painting,Portrait",1888,handwritten,2460,3520,1971-A,Portrait of Marcelle Roulin,162
163,"Nuenen,sketch,drawing",1884,other,750,1240,1971-B,Woman,163
164,"Nuenen,sketch,drawing",1885,other,750,1240,1972-A,Woman,164
165,"The Hague,drawing,Figures,Heads",1883,other,2940,4720,1972-B,Head of a Fisherman with a Fringe of Beard and a Sou&#39;wester,165
166,Paris,1886,,1980,1090,1973-A,Inside endpaper with smudge,166
167,"Saint-Rémy-de-Provence,drawing,Figures",1890,typewritten,3210,2360,1973-B,Studies of a Hand,167
168,Paris,1886,typewritten,1980,1090,1970-A,Notes,168
169,"Nuenen,drawing,Figures",1884,typewritten,3450,2070,1970-B,Lap with Hands and a Bowl,169
170,"Nuenen,sketch,drawing",1884,typewritten,750,1240,1971-A,Indistinct image,170
171,"sketch,drawing",1890,typewritten,850,1340,1971-B,Town Hall,171
172,"sketch,drawing",1890,other,850,1340,1972-A,Standing Male Figure (after Bargue),172
173,"Nuenen,drawing,Figures,Peasant Life",1884,typewritten,4480,3490,1972-B,Lumber Sale,173
174,"Paris,drawing,Figures,nude",1887,other,1360,2140,1973-A,Nude Woman Squatting Over a Basin,174
175,"Saint-Rémy-de-Provence,painting,Figures,Peasant Life",1889,handwritten,2950,4360,1973-B,The Sheepshearer (after Millet),175
176,"sketch,drawing",1890,other,850,1340,1970-A,Two Horses (upper part),176
177,"Saint-Rémy-de-Provence,drawing,Figures,landscape",1890,typewritten,2810,2370,1970-B,Two Men on a Road,177
178,"The Hague,drawing,Figures",1882,other,3200,5740,1971-A,Old Woman with a Shawl and a Walking Stick,178
179,"Paris,drawing,Figures",1887,typewritten,3490,2570,1971-B,Clarinettist and Piccolo Player,179
180,"Antwerp,painting,study,Portrait,Figures,Heads",1885,handwritten,3980,5050,1972-A,Portrait of an Old Woman,180
181,"Paris,sketch,drawing",1886,typewritten,1980,1090,1972-B,Standing Female Nude,181
182,"The Hague,drawing,Figures,Peasant Life",1882,other,2120,3170,1973-A,Two Sowers,182
183,"The Hague,drawing,Figures",1882,other,2840,5040,1973-B,Digger,183
184,"Paris,painting,Still Life",1886,handwritten,2700,3450,1970-A,Small Bottle with Peonies and Blue Delphiniums,184
185,"Paris,drawing,Figures",1887,typewritten,2580,3490,1970-B,Violinist Seen from the Back,185
186,"Auvers-sur-Oise,drawing,Nature,landscape,Townscape",1890,typewritten,5440,4400,1971-A,Blossoming Chestnut Trees by a House,186
187,"Arles,drawing,landscape",1888,other,3490,2580,1971-B,Field with Houses,187
188,"sketch,drawing",1890,other,850,1340,1972-A,Woman,188
189,"Nuenen,drawing,Figures,Peasant Life",1885,typewritten,3460,2150,1972-B,Three Studies of a Woman with a Shawl,189
190,"Nuenen,sketch,drawing",1884,other,750,1240,1973-A,Sower,190
191,"Paris,painting,Figures,nude",1886,handwritten,2350,2710,1973-B,"Nude Girl, Seated",191
192,"Etten,drawing,Portrait",1881,other,2610,3450,1970-A,"Portrait of Vincent van Gogh, the Artist&#39;s Grandfather",192
193,"Nuenen,drawing,Portrait",1884,other,4470,2900,1970-B,Part of a Portrait of Anthon van Rappard,193
194,"Etten,drawing",1881,other,2250,2980,1971-A,Sower,194
195,"sketch,drawing",1886,typewritten,1360,1020,1971-B,Knee,195
196,"Arles,drawing,Cityscape",1888,other,4920,6070,1972-A,Garden of a Bathhouse,196
197,"Nuenen,drawing,landscape,Nature",1885,typewritten,2260,2970,1972-B,Landscape in Stormy Weather,197
198,"Antwerp,drawing,Figures,nude",1886,typewritten,3920,5040,1973-A,Standing Female Nude Seen from the Front,198
199,"Arles,painting,Portrait,Figures,Heads",1888,handwritten,4200,5800,1973-B,An Old Woman of Arles,199
200,"Nuenen,painting,study,Figures,Heads",1885,handwritten,3210,4250,1970-A,Head of a Man,200
201,"Auvers-sur-Oise,drawing,Townscape",1890,other,5560,4500,1970-B,Dead-End Street with Houses,201
202,"The Hague,drawing,Figures,Heads",1882,other,2470,3950,1971-A,Head of a Woman,202
203,Nuenen,1884,,750,1240,1971-B,Inside endpaper with press-through of &#39;Head of a Man&#39;,203
204,"Paris,sketch,drawing",1886,other,1980,1090,1972-A,Windmills at Montmartre,204
205,"Antwerp,painting,study,Portrait,Figures,Heads",1885,handwritten,3370,4440,1972-B,Portrait of an Old Man,205
206,"Paris,drawing,Cityscape",1887,other,5250,3870,1973-A,A Guinguette,206
207,"Nuenen,painting,Townscape,Peasant Life",1885,handwritten,8000,6500,1973-B,The Old Church Tower at Nuenen (&#39;The Peasants&#39; Churchyard&#39;),207
208,"Paris,drawing,Cityscape",1886,typewritten,3020,2270,1970-A,View of Paris with Notre-Dame and the Panth&#233;on,208
209,"Paris,painting,Nature,Animals",1887,handwritten,1910,2660,1970-B,Kingfisher by the Waterside,209
210,"Nuenen,sketch,drawing",1884,typewritten,750,1240,1971-A,Head of a Woman,210
211,"Paris,drawing,study,Cityscape,Figures,landscape",1887,other,4600,2910,1971-B,Apartment Blocks and Miscellaneous Studies,211
212,"Auvers-sur-Oise,drawing,landscape",1890,typewritten,6280,4750,1972-A,Field with Sheaves of Wheat,212
213,"Paris,painting,Still Life",1886,handwritten,2190,4210,1972-B,Flame Nettle in a Flowerpot,213
214,Paris,1886,other,1980,1090,1973-A,Inside endpaper with note and rubbing,214
215,"sketch,drawing",1890,typewritten,850,1340,1973-B,Three Fish,215
216,"Nuenen,sketch,drawing",1884,other,750,1240,1970-A,Head of a Man,216
217,"Saint-Rémy-de-Provence,drawing,Figures,landscape",1890,other,3190,2380,1970-B,Winter Landscape with Walking Figures,217
218,"Paris,drawing,Figures",1887,typewritten,2580,3480,1971-A,Double-Bass Player,218
219,"Nuenen,drawing,Figures",1884,typewritten,3450,2130,1971-B,Two Hands and Two Arms,219
220,"The Hague,drawing,Figures,Heads",1882,other,2250,2910,1972-A,Head of a Woman,220
221,"Nieuw Amsterdam,painting,landscape,Peasant Life",1883,handwritten,5500,3750,1972-B,Farm with Stacks of Peat,221
222,"Auvers-sur-Oise,painting,Still Life",1890,handwritten,2900,4220,1973-A,Vase of Flowers,222
223,"Saint-Rémy-de-Provence,painting,Figures,Peasant Life",1889,handwritten,3310,4450,1973-B,The Sheaf-Binder (after Millet),223
224,"The Hague,drawing,Figures,Heads",1883,other,2840,4450,1970-A,"Fisherman with Sou&#39;wester, Pipe and Coal Pan",224
225,"Paris,drawing,study,Figures,Still Life,nude",1887,typewritten,2490,3220,1970-B,Torso of Venus,225
226,"Saint-Rémy-de-Provence,drawing,Figures",1890,other,3170,2390,1971-A,Studies of Figures Working and Eating,226
227,"Paris,painting,Cityscape",1887,handwritten,4640,2150,1971-B,Sunset in Montmartre,227
228,"Paris,painting,Cityscape,landscape",1887,handwritten,4050,3210,1972-A,The Bridge at Courbevoie,228
229,"Nuenen,drawing,Figures,Peasant Life",1885,typewritten,5540,3800,1972-B,Sale of Building Scrap,229
230,"Nuenen,drawing,landscape,Nature",1884,other,5420,3950,1973-A,Pollard Birches,230
231,"Nuenen,sketch,drawing",1884,typewritten,750,1240,1973-B,Lower Leg,231
232,"Auvers-sur-Oise,drawing,Townscape,Figures,Heads",1890,typewritten,3120,4840,1970-A,Auvers Town Hall and Head of a Man,232
233,"sketch,drawing",1890,typewritten,850,1340,1970-B,Head of a Man,233
234,"sketch,drawing",1890,typewritten,850,1340,1971-A,Woman,234
235,"Saint-Rémy-de-Provence,drawing,Animals,Nature",1889,typewritten,2100,1350,1971-B,Giant Peacock Moth and Poppy Seed Pop,235
236,"Paris,painting,Still Life",1887,handwritten,5500,4600,1972-A,Basket of Pansies,236
237,"Nuenen,painting,study,Figures,Heads,Peasant Life",1885,handwritten,3480,4220,1972-B,Head of a Woman,237
238,"sketch,drawing",1886,typewritten,1050,1020,1973-A,Knee,238
239,"Nuenen,drawing,Figures,interior,Peasant Life",1885,typewritten,2670,4220,1973-B,Woman Shelling Peas,239
240,"Saint-Rémy-de-Provence,drawing,landscape,Figures,Peasant Life",1890,other,3190,2380,1970-A,Field with Sower,240
241,"Nuenen,painting,study,Figures,Heads,Peasant Life",1885,handwritten,3350,4270,1970-B,Head of a Woman,241
242,"Saint-Rémy-de-Provence,drawing,landscape,Nature",1889,photography,6490,4980,1971-A,Olive Grove,242
243,"Auvers-sur-Oise,print,Portrait",1890,handwritten-diagram,1500,1800,1971-B,Portrait of Dr Gachet,243
244,"Saint-Rémy-de-Provence,drawing,Seascape,Figures,Still Life",1890,other,2880,4780,1972-A,"Figures on the Beach and a Plate, Bowl and Spoon",244
245,"Paris,painting,Cityscape",1887,handwritten,6550,3500,1972-B,Impasse des Deux Fr&#232;res,245
246,"Auvers-sur-Oise,print,Portrait",1890,handwritten-diagram,1500,1800,1973-A,Portrait of Dr Gachet,246
247,"sketch,drawing",1890,typewritten,850,1340,1973-B,Woman Bending,247
248,"Nuenen,sketch,drawing",1884,other,750,1240,1970-A,View of Eindhoven,248
249,"sketch,drawing",1890,typewritten,850,1340,1970-B,Hand,249
250,"Paris,sketch,drawing",1886,other,1980,1090,1971-A,Pelvis of a Skeleton,250
251,"Nuenen,drawing,Figures",1884,typewritten,4240,3470,1971-B,Hands with a Stick,251
252,"Saint-Rémy-de-Provence,painting,landscape,Nature,Peasant Life",1889,handwritten,9270,7320,1972-A,Wheatfield with a Reaper,252
253,"Antwerp,painting,Cityscape",1885,handwritten,3370,4370,1972-B,Houses Seen from the Back,253
254,"Paris,drawing,Cityscape",1887,other,2920,4600,1973-A,Study of the Paris Ramparts,254
255,"Nuenen,drawing,Figures",1885,typewritten,3460,2130,1973-B,"Three Hands, Two Holding Forks",255
256,"1860 - 1870,drawing,Townscape,Peasant Life",1864,other,2650,1950,1970-A,Open Barn and Farmhouse,256
257,"Nuenen,drawing,Figures",1885,typewritten,2100,3460,1970-B,Woman with a Shawl,257
258,"Paris,drawing,Figures",1886,other,1680,1010,1971-A,Man on a Bench,258
259,"Antwerp,drawing,Figures,Heads",1885,typewritten,920,1650,1971-B,Head of an Old Man,259
260,"Nuenen,drawing,Townscape,Peasant Life",1883,other,2860,1840,1972-A,Churchyard in Winter,260
261,"The Hague,drawing,Figures,Heads",1882,other,2630,4760,1972-B,Head of a Woman,261
262,"Paris,painting,study,Still Life,Figures,nude",1886,handwritten,3810,4640,1973-A,Torso of Venus,262
263,"sketch,drawing",1890,typewritten,850,1340,1973-B,Landscape with the River Oise,263
264,"The Hague,drawing,Figures",1883,typewritten,3550,5380,1970-A,Woman with a Child on her Lap,264
265,"Paris,drawing,Animals",1887,other,3520,2690,1970-B,Swift,265
266,"Arles,drawing,Cityscape",1888,other,3200,2570,1971-A,The Yellow House (The Street),266
267,"Auvers-sur-Oise,drawing,study,Figures",1890,other,2730,4430,1971-B,Standing Male Nude and Sitting Figure (after Bargue),267
268,"Paris,drawing,Cityscape",1886,typewritten,3010,2270,1972-A,View of Paris with the Op&#233;ra,268
269,"Auvers-sur-Oise,drawing,Figures",1890,typewritten,3020,2370,1972-B,Sketch of Two Women,269
270,"Nuenen,painting,study,Figures,Heads,Peasant Life",1884,handwritten,2950,3770,1973-A,Head of a Man,270
271,"The Hague,print,Figures",1882,handwritten-diagram,2520,4810,1973-B,Old Man with a Stick,271
