,keywords,_material,_height,_width,year,_description,id
77,"Paris,painting,study,Still Life",oil on canvas,3270,4100,1971,Plaster Cast of a Woman&#39;s Torso,77
78,"Nuenen,painting,Figures,Peasant Life",oil on canvas,4450,3360,1972,Study for &#39;The Potato Eaters&#39;,78
79,"Saint-Rémy-de-Provence,drawing,Figures,landscape",pencil on paper,2530,2440,1973,"Couple with Child, Walking in the Rain",79
80,"Saint-Rémy-de-Provence,painting,Figures,Peasant Life",oil on canvas on cardboard,3320,4320,1970,Peasant Woman Binding Sheaves (after Millet),80
81,"Nuenen,sketch,drawing",pencil,750,1240,1971,Church,81
82,"Nuenen,drawing,Figures,Peasant Life",pencil on paper,2110,3460,1972,Seated Woman,82
83,"1871 - 1880,Brussels,drawing,Figures,Still Life,Peasant Life",pencil on paper,2640,4830,1973,French Peasant Woman Suckling Her Baby (after Dalou),83
84,"Arles,painting,Cityscape",oil on canvas on cardboard,3310,3970,1970,View of a Butcher&#39;s Shop,84
85,"Nuenen,drawing,Figures,Peasant Life",chalk on paper,3470,2110,1971,Sale of Building Scrap,85
86,"Paris,painting,landscape,Cityscape",oil on canvas on cardboard,4200,3300,1972,Square Saint-Pierre at Sunset,86
87,"Arles,painting,Seascape",oil on canvas,8150,6500,1973,Fishing Boats on the Beach at Les Saintes-Maries-de-la-Mer,87
88,"Nuenen,sketch,drawing",pencil on paper,750,1240,1970,Figure,88
89,"Paris,drawing,interior,Cityscape",pen and ink,3980,5400,1971,Window in the Bataille Restaurant,89
90,"Nuenen,sketch,drawing",pencil on paper,750,1240,1972,Peasant Woman Working in the Fields,90
91,"Antwerp,drawing,Cityscape",chalk on paper,1660,920,1973,View of Het Steen,91
92,"sketch,drawing",chalk on paper,1360,1020,1970,Foot,92
93,,pencil on paper,810,1020,1971,Note,93
94,"sketch,drawing",pencil on paper,850,1340,1972,Standing Male Figure (after Bargue),94
95,"Arles,painting,Seascape",oil on canvas,6430,5050,1973,Seascape near Les Saintes-Maries-de-la-Mer,95
96,"Nuenen,drawing,Figures,Heads,Peasant Life",pencil,1070,1120,1970,Head of a Woman,96
97,"Nuenen,sketch,drawing",pen and ink on paper,750,1240,1971,Two Heads,97
98,"Paris,drawing,Figures,nude",pencil on paper,3160,4760,1972,Seated Female Nude,98
99,"Paris,painting,Still Life",oil on canvas,6040,4570,1973,Apples,99
